covered 103 missing 258
121	cac-dia-phuong-cuoi-cung-gianh-chinh-quyen	Đồng Nai Thượng và Hà Tiên là những địa phương cuối cùng giành chính quyền	Đến ngày 28 - 8
122	tong-khoi-nghia-gianh-chinh-quyen	Tổng khởi nghĩa giành chính quyền thắng lợi	Tháng 8 – 1945
123	phap-xa-sung-sai-gon-cho-lon-1945	Quân Pháp xả súng vào đồng bào Sài Gòn – Chợ Lớn	Ngày 2-9-1945
124	phap-danh-up-uy-ban-hanh-chinh-nam-bo-1945	Thực dân Pháp đánh úp trụ sở Uỷ ban hành chính Nam Bộ và cơ quan tự vệ thành phố Sài Gòn	Đêm 22, rạng sáng 23 – 9 – 1945
125	thanh-lap-uy-ban-khang-chien-nam-bo-1945	Thành lập Uỷ ban kháng chiến Nam Bộ	Ngày 23 - 9 - 1945
126	ho-chi-minh-gui-thu-toi-chu-tich-hoi-dong-lien-hop-quoc	Chủ tịch Hồ Chí Minh gửi thư tới Chủ tịch Hội đồng Liên hợp quốc và nguyên thủ các nước lớn	Sau Cách mạng tháng Tám thành công (1945)
127	ho-chi-minh-keu-goi-nhuong-com-se-ao-tang-gia-san-xuat	Chủ tịch Hồ Chí Minh kêu gọi nhân dân cả nước “Nhường cơm sẻ áo” và “Tăng gia sản xuất”	Những năm 1945 – 1946
128	ho-chi-minh-ki-sac-lenh-thanh-lap-nha-binh-dan-hoc-vu-va-quy-doc-lap	Chủ tịch Hồ Chí Minh kí sắc lệnh thành lập Nha Bình dân học vụ và thành lập Quỹ Độc lập, kêu gọi hưởng ứng Tuần lễ vàng	Những năm 1945 – 1946
129	hoat-dong-doi-ngoai-cua-vndcch-voi-trung-hoa-dan-quoc	Hoạt động đối ngoại của Việt Nam Dân chủ Cộng hoà với Trung Hoa Dân quốc	Khoảng năm 1945
130	khang-chien-chong-thuc-dan-phap-1945-1954	Cuộc kháng chiến chống thực dân Pháp	1945-1954
131	khang-chien-chong-thuc-dan-phap-o-viet-nam-lao-cam-pu-chia	Kháng chiến chống thực dân Pháp ở Việt Nam, Lào, Cam-pu-chia	1945 – 1954
132	viet-nam-de-nghi-lien-hop-quoc-cong-nhan-vndcch	Việt Nam đề nghị Liên hợp quốc và các nước lớn công nhận Nhà nước Việt Nam Dân chủ Cộng hoà	Năm 1945
133	ho-chi-minh-gui-loi-keu-goi-quoc-dan-di-bo-phieu	Chủ tịch Hồ Chí Minh gửi Lời kêu gọi quốc dân đi bỏ phiếu	Ngày 5 – 1 – 1946
134	ho-chi-minh-duoc-bau-chu-tich-nuoc-1946	Hồ Chí Minh được Quốc hội khoá I bầu làm Chủ tịch nước Việt Nam Dân chủ Cộng hoà	Tháng 1 – 1946
135	hiep-uoc-hoa-phap-1946	Kí Hiệp ước Hoa - Pháp	28-2-1946
136	ho-chi-minh-ki-hiep-dinh-so-bo-voi-g-xanh-to-ni	Chủ tịch Hồ Chí Minh kí Hiệp định Sơ bộ với G. Xanh-tơ-ni	6 – 3 – 1946
137	ho-chi-minh-ra-loi-keu-goi-toan-quoc-khang-chien	Chủ tịch Hồ Chí Minh ra Lời kêu gọi toàn quốc kháng chiến	Tối ngày 19-12-1946
138	khang-chien-toan-quoc-chong-thuc-dan-phap-bung-no	Kháng chiến toàn quốc chống thực dân Pháp bùng nổ	Tháng 12 năm 1946
139	viet-nam-the-hien-thien-chi-hoa-binh-sau-12-1946	Việt Nam thể hiện thiện chí hoà bình sau khi kháng chiến bùng nổ	Từ tháng 12 năm 1946
140	hien-phap-viet-nam-dan-chu-cong-hoa-1946	Hiến pháp nước Việt Nam Dân chủ Cộng hoà năm 1946	Năm 1946
141	phap-cho-hai-quan-tru-dong-truong-sa	Pháp cho hải quân trú đóng ở các đảo chính thuộc quần đảo Trường Sa	Năm 1946
142	chien-dich-viet-bac-thu-dong-1947	Chiến dịch Việt Bắc thu – đông năm 1947	Từ tháng 10 đến tháng 12 – 1947
143	chien-dich-bien-gioi-thu-dong-1950	Chiến dịch Biên giới thu – đông năm 1950	Từ tháng 9 đến tháng 10 – 1950
144	cac-chien-dich-tien-cong-quan-doi-viet-nam-1950-1953	Các chiến dịch tiến công của Quân đội Việt Nam (1950-1953)	Từ cuối năm 1950 đến giữa năm 1953
145	vndcch-thiet-lap-quan-he-ngoai-giao-voi-cac-nuoc-xhcn	Việt Nam Dân chủ Cộng hoà thiết lập quan hệ ngoại giao với Cộng hoà Nhân dân Trung Hoa, Liên Xô và các nước xã hội chủ nghĩa khác	Năm 1950
146	ho-chi-minh-duoc-bau-chu-tich-ban-chap-hanh-trung-uong-dang-1951	Hồ Chí Minh được bầu làm Chủ tịch Ban Chấp hành Trung ương Đảng	Tháng 2 – 1951
147	mat-tran-lien-viet-ra-doi-1951	Mặt trận Liên hiệp quốc dân Việt Nam (Mặt trận Liên Việt) ra đời	Ngày 3-3-1951
148	chu-quyen-viet-nam-duoc-tuyen-bo-cong-nhan-hoi-nghi-xan-phran-xi-xo	Chủ quyền của Việt Nam đối với Hoàng Sa và Trường Sa được tuyên bố và công nhận tại Hội nghị Hoà bình Xan Phran-xi-xcô	Tháng 9 năm 1951
149	thanh-lap-lien-minh-nhan-dan-viet-mien-lao	Thành lập Liên minh nhân dân Việt – Miên - Lào	Năm 1951
150	cuoc-van-dong-san-xuat-va-tiet-kiem-1952	Cuộc vận động sản xuất và tiết kiệm	Năm 1952
151	dai-hoi-chien-si-thi-dua-can-bo-guong-mau-toan-quoc-lan-thu-nhat-1952	Đại hội Chiến sĩ thi đua và Cán bộ gương mẫu toàn quốc lần thứ nhất	1952
152	ke-hoach-na-va-1953	Kế hoạch Na-va	Tháng 7 – 1953
153	quoc-hoi-thong-qua-luat-cai-cach-ruong-dat-1953	Quốc hội thông qua Luật Cải cách ruộng đất và quyết định tiến hành cải cách ruộng đất	Tháng 12 – 1953
